"ID","Title","Attachments","Expected Result","Preconditions","Priority","References","Section","Section Description","Status","Steps","Steps (Expected Result)","Suite","Suite ID","Type","is_converted"
"C46","Geçerli bilgilerle kayıt olunabilindiğinin doğrulanması","","","<p>Kullanıcı sign up sayfasında olmalı</p>","High","PowerPulse Requirements - User Registration","Sign Up/Register","<p>Yeni kullanıcı kaydı sürecine ait pozitif ve negatif test senaryoları bu bölümde yer almaktadır.</p>","Design","","1. 
2. 
3. 
4. <p>Kayıt işlemi başarılı olmalı <span white-space: pre;"""" data-pasted=""""true"""">    </span></p><p><span data-pasted=""""true"""">Kullanıcı giriş yapabilmeli veya yönlendirilmelidir<span white-space: pre;"""" data-pasted=""""true"""">    </span></span></p>","Master","S6","Functional","1"
"C47","Başarılı kayıt sonrası confirmation emailinin gönderildiğinin doğrulanması","","","<p>Kullanıcı,sign up sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Sign Up/Register","<p>Yeni kullanıcı kaydı sürecine ait pozitif ve negatif test senaryoları bu bölümde yer almaktadır.</p>","Design","","1. 
2. 
3. 
4. <p><span white-space: pre;"""" data-pasted=""""true"""">  </span></p>​
5. <p>Kullanıcının email adresine doğrulama/confirmation maili gönderilmiş olmalıdır<span white-space: pre;"""" data-pasted=""""true"""">  </span></p>","Master","S6","Functional","1"
"C48","Name alanı boş bırakıldığında hata mesajı görüntülendiğini doğrula","","","<p>Kullanıcı,sign up sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Sign Up/Register","<p>Yeni kullanıcı kaydı sürecine ait pozitif ve negatif test senaryoları bu bölümde yer almaktadır.</p>","Design","","1. 
2. 
3. 
4. <p>Name alanı için """"Required field"""" hata mesajı görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C49","Geçersiz email formatıyla kayıt olunamadığını doğrula","","","<p>Kullanıcı,sign up sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Sign Up/Register","<p>Yeni kullanıcı kaydı sürecine ait pozitif ve negatif test senaryoları bu bölümde yer almaktadır.</p>","Design","","1. 
2. 
3. 
4. <p>Email formatı için hata mesajı görüntülenmeli,kayıt oluşturulmamalıdır<span white-space: pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C50","6 karakterden kısa password ile kayıt olunamadığını doğrula","","","<p>Kullanıcı,sign up sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Sign Up/Register","<p>Yeni kullanıcı kaydı sürecine ait pozitif ve negatif test senaryoları bu bölümde yer almaktadır.</p>","Design","","1. 
2. 
3. 
4. <p>Password """"minimum uzunluk"""" hata mesajı görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C51","Password içinde boşluk olduğunda kayıt olunamadığının doğrulanması","","","<p>Kullanıcı,sign up sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","Medium","PowerPulse Requirements - User Registration","Sign Up/Register","<p>Yeni kullanıcı kaydı sürecine ait pozitif ve negatif test senaryoları bu bölümde yer almaktadır.</p>","Design","","1. 
2. 
3. 
4. <p>""""Password boşluk içeremez"""" hata raporu görünmelidir.<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C52","Daha önce kayıtlı email ile tekrar kayıt olunamadığının doğrulanması","","","<p>Aynı email ile daha önce hesap oluşturulmuş olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Sign Up/Register","<p>Yeni kullanıcı kaydı sürecine ait pozitif ve negatif test senaryoları bu bölümde yer almaktadır.</p>","Design","","1. 
2. 
3. 
4. <p>Kullanıcı ekranında bir hata modülü açılmalıdır<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C53","Sign in sayfasında geçerli bilgilerle giriş yapılabilindiğinin doğrulanması","","","<p>Kullanıcı Sıgn In sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Sign In/Login","<p>Bu bölüm, kullanıcının sisteme giriş yapma sürecine ait test case'leri içerir.</p>","Design","","1. 
2. 
3. <p>Kullanıcı başarılı şekilde giriş yapabilmeli<span white-space:pre;"""" data-pasted=""""true"""">  ve Diary sayfasına yönlendirilmeli</span></p>","Master","S6","Functional","1"
"C54","Email alanı boş bırakıldığında giriş yapılamadığının doğrulanması","","","<p>Kullanıcı Sıgn In sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Sign In/Login","<p>Bu bölüm, kullanıcının sisteme giriş yapma sürecine ait test case'leri içerir.</p>","Design","","1. 
2. 
3. <p>Email alanı için hata mesajı görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C55","Yanlış password ile giriş yapılamadığının doğrulanması","","","<p><span style=""white-space: pre"" data-pasted=""true"">          1.    Kullanıcının kayıtlı hesabı olmalı<span style=""white-space: pre"" data-pasted=""true"">     </span></span></p><p><span style=""white-space: pre""><span style=""white-space: pre"">          2.     Sıgn ın sayfası açık olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></span></span></p>","High","PowerPulse Requirements - User Registration","Sign In/Login","<p>Bu bölüm, kullanıcının sisteme giriş yapma sürecine ait test case'leri içerir.</p>","Design","","1. 
2. 
3. <p>Kullanıcı giriş yapamamalı<span white-space:pre;"""" data-pasted=""""true"""">    ve Hata mesajı görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></span></p>","Master","S6","Functional","1"
"C56","Video Tutorial izleyici sayısının görüntülendiğini doğrula","","","<p>Kullanıcı, giriş yapmamış olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p><p><span data-pasted=""true"">Kullanıcı, başlangıç sayfasında olmalı</span></p>","Medium","PowerPulse Requirements - User Registration","Header","<p>Logo, menü ve sayfa geçişleri gibi caselerin yazıldığı bölümdür.</p>","Design","","1. 
2. <p>Video tutorial izleyici sayısı görünmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C57","İstatisik bilgilerinin kullanıcılar tarafından anlaşılabilir olduğunun doğrulanması","","","<p>Kullanıcı, başlangıç sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","Medium","PowerPulse Requirements - User Registration","Header","<p>Logo, menü ve sayfa geçişleri gibi caselerin yazıldığı bölümdür.</p>","Design","","1. 
2. <p>İstatistik bilgileri açıklayıcı başlık, birim veya açıklama ile anlaşılır şekilde görüntülenmelidir.<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C58","Toplam kayıtlı kullanıcı sayısının görüntülediğini doğrula","","","<p>Kullanıcı, başlangıç sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","Medium","PowerPulse Requirements - User Registration","Header","<p>Logo, menü ve sayfa geçişleri gibi caselerin yazıldığı bölümdür.</p>","Design","","1. 
2. <p>Uygulamaya kayıtlı toplam kullanıcı sayısı görünmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C59","Egzersiz için harcanan toplam saat bilgisinin görüntülendiğini doğrula","","","<p>Kullanıcı, başlangıç sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","Medium","PowerPulse Requirements - User Registration","Header","<p>Logo, menü ve sayfa geçişleri gibi caselerin yazıldığı bölümdür.</p>","Design","","1. 
2. <p>Kullanıcılar tarafından egzersiz için harcanan toplam saat görünmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C60","Toplam egzersiz sayısının görüntülendiğini doğrula","","","<p>Kullanıcı, başlangıç sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","Medium","PowerPulse Requirements - User Registration","Header","<p>Logo, menü ve sayfa geçişleri gibi caselerin yazıldığı bölümdür.</p>","Design","","1. 
2. <p>Kullanıcılar tarafından gerçekleştirilen toplam egzersiz sayısı görünmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
